พ.ศ.,เม.ย.,พ.ค.,มิ.ย.,ก.ค.,ส.ค.,ก.ย.,ต.ค.,พ.ย.,ธ.ค.,ม.ค.,ก.พ.,มี.ค.,"รวม
(ล้าน ลบ.ม.)",station_id,station_name,source_file
2563,0.00,0.00,3.49,11.73,63.80,67.06,110.89,11.39,0.00,0.00,0.00,0.00,268.36,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2564,4.26,13.08,7.23,32.79,12.54,288.01,237.77,36.25,0.40,0.00,0.00,0.00,632.34,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2565,0.00,5.37,1.80,120.52,177.56,210.31,234.85,17.65,4.08,1.12,0.07,0.00,773.33,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2566,0.00,0.00,0.65,5.88,0.91,79.62,238.87,21.18,11.38,2.57,0.33,0.00,361.39,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2567,0.00,8.29,22.98,65.61,115.68,171.91,110.84,23.84,,,,,519.14,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
ค่าเฉลี่ย,2.81,17.99,22.40,49.93,111.08,203.72,131.59,25.02,8.97,2.42,1.84,1.25,575.03,S.4B,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี S.4B ในเมือง อ.เมือง จ.เพชรบูรณ์,trend_S.4B.pdf
2537,199.98,181.02,238.04,529.24,"1,345.89","1,457.11","1,027.33",818.27,"1,013.17",697.70,378.40,455.40,"8,341.54",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2538,341.00,563.59,"1,153.37",687.53,457.12,"1,710.25","1,619.55",754.94,594.40,668.65,267.11,547.05,"9,364.55",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2539,358.38,600.34,"1,196.60",988.74,"1,051.31","1,837.00","3,058.24","1,466.30",776.65,596.79,420.70,404.02,"12,755.06",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2540,335.12,440.70,649.96,570.20,"2,061.52","1,349.27","1,223.44",739.07,778.20,529.63,212.87,388.53,"9,278.52",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2541,464.48,558.03,652.33,398.16,317.95,286.18,837.82,263.28,236.56,250.45,168.38,162.86,"4,596.47",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2542,224.08,385.52,293.88,226.32,507.47,284.72,"1,032.55","1,153.28",359.45,437.99,418.97,384.29,"5,708.52",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2543,,,,,,,,,,,,,,K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2544,,,,,,,,,,,,,,K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2545,,,,,,,,,,,,,,K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2546,,,,,,,,,,,,,,K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2547,,,,,,,,,,,,,,K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2548,200.55,109.68,138.12,128.01,226.13,407.10,513.87,287.95,196.69,247.16,237.25,270.03,"2,962.54",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2549,264.57,414.77,855.16,"1,386.56","1,582.83","1,656.42",910.29,403.03,373.35,264.82,218.83,273.49,"8,604.10",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2550,545.44,"1,128.95",659.40,802.79,717.42,727.49,717.77,443.49,610.11,320.54,344.52,461.76,"7,479.69",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2551,505.70,640.70,825.55,613.97,628.92,624.52,614.48,666.95,420.33,495.89,401.51,466.96,"6,905.47",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2552,384.60,526.05,344.25,502.23,"1,195.81",602.85,"1,352.67",522.81,819.24,489.33,417.99,579.15,"7,736.97",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2553,452.36,540.60,446.21,459.26,446.14,462.91,905.00,269.64,507.52,245.95,365.89,392.77,"5,494.24",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2554,272.19,253.45,317.42,347.44,"1,208.71","1,122.30","1,516.87",616.12,840.91,806.16,808.87,805.95,"8,916.38",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2555,854.13,529.91,439.58,692.36,"1,275.81","1,563.27","1,519.89",797.78,754.47,377.66,408.14,432.29,"9,645.30",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2556,568.21,459.21,686.03,390.58,568.68,974.17,"1,276.15",745.21,403.66,730.83,393.60,283.96,"7,480.29",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2557,288.76,170.37,207.76,195.99,259.12,96.68,266.49,288.31,208.19,222.36,209.08,239.37,"2,652.48",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2558,229.43,233.22,194.68,204.83,240.97,234.13,234.50,161.40,192.43,198.94,235.27,301.90,"2,661.69",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2559,199.13,207.39,231.17,167.12,120.50,207.01,283.54,357.89,173.10,250.03,127.10,117.51,"2,441.52",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2560,173.90,256.44,235.70,251.35,212.97,221.81,469.00,366.37,283.98,300.24,258.13,422.04,"3,451.91",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
2561,413.99,608.20,479.17,572.82,"1,909.60","2,378.79",813.77,290.16,316.79,251.93,227.89,268.29,"8,531.39",K.11A,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี K.11A บ้านวังขนาย อ.ท่าม่วง จ.กาญจนบุรี,trend_K.11A.pdf
