feature,model,MSE,RMSE,R2
production index,Linear,4310484.500783589,2076.1706338313306,-2.919517683516862
production index,"ARIMAX(2,0,0)",1762984.3270351263,1327.7742003198912,-0.6030792465025911
production index,GARCH,1144504.3735496989,1069.8151118533046,-0.040696267478738335
