feature,model,MSE,RMSE,R2
water and fertilizer,Linear,3485950.433926363,1867.0700131292247,-2.1697699799532657
water and fertilizer,"ARIMAX(2,0,0)",2307787.3601042423,1519.1403358821865,-1.0984679021768757
water and fertilizer,GARCH,1409791.5248472767,1187.3464215835565,-0.2819215126992347
