feature,model,MSE,RMSE,R2
all,Linear,1084325.0753791446,1041.3093082168932,0.014024686353305893
all,"ARIMAX(2,0,0)",1013237.4336149369,1006.5969568873815,0.07866458215241467
all,GARCH,714474.5894689533,845.2659874080781,0.35032922926925303
