feature,model,MSE,RMSE,R2
export and finance,Linear,984694.5645623448,992.3177739828834,0.10461857409220787
export and finance,"ARIMAX(2,0,0)",1038243.7647681817,1018.9424737286113,0.05592635930595635
export and finance,GARCH,786222.286538165,886.6917652364688,0.2850891460806313
