feature,model,MSE,RMSE,R2
hommali,Linear,3903346.4204180264,1975.6888470652525,-2.549307581767085
hommali,"ARIMAX(2,0,0)",3646191.1040473226,1909.5002236311266,-2.3154766029659504
hommali,GARCH,2630841.668078305,1621.9869506498212,-1.392220744255408
